GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,SUM_TIME_PLAYED,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,EFG_PCT,AST_PCT,AST_TO,REB_PCT
-1627936-1628983-1629652-1631096-1631114-,A. Caruso - S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams,10,6,4,0.6,26.786667,0.431,0.238,0.867,7,20,27,12,3.0,6,3,62,17.0,80360,108.8,78.9,29.8,102.14,0.538,0.48,0.545,4.0,0.552
-1630198-1631096-1631114-1641717-1642349-,I. Joe - C. Holmgren - J. Williams - C. Wallace - A. Mitchell,7,6,1,0.857,26.283333,0.383,0.286,0.867,2,19,21,12,9.0,5,7,55,-4.0,78850,98.2,101.7,-3.5,104.1,0.513,0.447,0.667,1.33,0.473
-1627936-1628983-1630198-1631119-1641717-,A. Caruso - S. Gilgeous-Alexander - I. Joe - J. Williams - C. Wallace,11,11,0,1.0,26.108333,0.512,0.464,0.905,1,15,16,15,7.0,5,2,76,11.0,78325,133.3,116.1,17.3,103.87,0.727,0.663,0.682,2.14,0.367
-1628392-1628983-1629652-1631114-1641717-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,5,1,4,0.2,25.816667,0.333,0.261,0.7,16,14,30,13,6.0,7,1,53,-13.0,77450,100.0,122.2,-22.2,99.47,0.411,0.383,0.65,2.17,0.583
-1628983-1629652-1630198-1631096-1641717-,S. Gilgeous-Alexander - L. Dort - I. Joe - C. Holmgren - C. Wallace,9,7,2,0.778,25.761667,0.622,0.5,0.938,2,15,17,10,5.0,9,4,79,23.0,77285,141.1,101.8,39.3,103.41,0.759,0.711,0.357,2.0,0.409
-1630598-1631096-1631114-1641717-1642349-,A. Wiggins - C. Holmgren - J. Williams - C. Wallace - A. Mitchell,6,5,1,0.833,25.2,0.375,0.438,0.813,7,16,23,12,4.0,5,2,56,0.0,75600,109.8,114.3,-4.5,95.24,0.509,0.448,0.667,3.0,0.483
-1628392-1629652-1630598-1631096-1641717-,I. Hartenstein - L. Dort - A. Wiggins - C. Holmgren - C. Wallace,6,5,1,0.833,25.156667,0.404,0.409,0.692,12,15,27,16,6.0,6,1,60,-1.0,75470,111.1,110.9,0.2,103.99,0.52,0.49,0.762,2.67,0.508
-1627936-1628983-1630198-1630598-1631119-,A. Caruso - S. Gilgeous-Alexander - I. Joe - A. Wiggins - J. Williams,7,6,1,0.857,24.756667,0.565,0.391,0.762,4,15,19,15,3.0,3,1,77,18.0,74270,137.5,109.3,28.2,106.64,0.697,0.663,0.577,5.0,0.479
-1628392-1630198-1631096-1641717-1642272-,I. Hartenstein - I. Joe - C. Holmgren - C. Wallace - J. McCain,6,5,1,0.833,24.666667,0.429,0.444,0.818,10,20,30,15,5.0,7,6,59,12.0,74000,118.0,90.4,27.6,99.24,0.548,0.51,0.714,3.0,0.541
-1629026-1630198-1630598-1631119-1641717-,K. Williams - I. Joe - A. Wiggins - J. Williams - C. Wallace,5,4,1,0.8,23.37,0.319,0.296,0.846,8,13,21,10,4.0,7,2,49,-14.0,70110,100.0,126.0,-26.0,101.67,0.465,0.404,0.667,2.5,0.471
